OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
231,Unincorporated - Avocado Heights,20,0,20,Los Angeles Homeless Services Authority (LAHSA),0.805132823001175,24.8406218559678,0,24.8406218559678,3044988.99609375,8316.8017297059
232,Unincorporated - Azusa,37,0,37,Los Angeles Homeless Services Authority (LAHSA),1.27990406716612,28.9084166143194,0,28.9084166143194,4848633.98046875,9926.36355621231
233,Unincorporated - Bassett,22,0,22,Los Angeles Homeless Services Authority (LAHSA),1.17955063251428,18.6511705335664,0,18.6511705335664,4462370.59375,9660.04013498608
234,Unincorporated - Bouquet Canyon,0,0,0,Los Angeles Homeless Services Authority (LAHSA),27.9122196441021,0,0,0,106956325.925781,62034.4062392862
235,Unincorporated - Canyon Country,0,0,0,Los Angeles Homeless Services Authority (LAHSA),6.08921803444119,0,0,0,23257151.2890625,23334.7639413566
236,Unincorporated - Castaic,3,0,3,Los Angeles Homeless Services Authority (LAHSA),313.800609183847,0.00956021088615027,0,0.00956021088615027,1202915983.97656,189833.723961595
237,Unincorporated - Covina,12,0,12,Los Angeles Homeless Services Authority (LAHSA),2.81451899699645,4.26360597061379,0,4.26360597061379,10651043.4921875,23416.1019574203
238,Unincorporated - Covina (Charter Oak),39,0,39,Los Angeles Homeless Services Authority (LAHSA),1.23034063096083,31.6985386149063,0,31.6985386149063,4659396.33984375,11759.1306727427
239,Unincorporated - Del Aire,4,0,4,Los Angeles Homeless Services Authority (LAHSA),0.814816800533518,4.90907894557515,0,4.90907894557515,3072626.26171875,8716.37373082692
240,Unincorporated - Del Sur,203,0,203,Los Angeles Homeless Services Authority (LAHSA),82.4041713518651,2.46346752439499,0,2.46346752439499,317035434.367188,73549.7887468879
241,Unincorporated - Duarte,2,0,2,Los Angeles Homeless Services Authority (LAHSA),0.571444304031342,3.49990364046101,0,3.49990364046101,2165155.8671875,7493.02519005872
242,Unincorporated - East La Mirada,4,0,4,Los Angeles Homeless Services Authority (LAHSA),0.665089484817824,6.01422829755856,0,6.01422829755856,2507938.578125,7108.37214473386
243,Unincorporated - East Los Angeles,512,0,512,Los Angeles Homeless Services Authority (LAHSA),7.17047341886644,71.403932500867,0,71.403932500867,27109573.0820313,32141.8030968514
244,Unincorporated - East Pasadena,13,0,13,Los Angeles Homeless Services Authority (LAHSA),4.03119921373602,3.2248468286319,0,3.2248468286319,15288295.71875,31856.7196611576
245,Unincorporated - East Rancho Dominguez,69,35,104,Los Angeles Homeless Services Authority (LAHSA),0.457016309403131,150.979294568535,76.5837001434597,227.562994711995,1722463.8046875,5346.5834436876
246,Unincorporated - East Whittier,4,0,4,Los Angeles Homeless Services Authority (LAHSA),0.447053915859329,8.94746664350581,0,8.94746664350581,1685972.9375,5730.18730658944
247,Unincorporated - El Camino Village,13,0,13,Los Angeles Homeless Services Authority (LAHSA),1.25781733428999,10.3353640036597,0,10.3353640036597,4739326.4921875,10006.1406733526
248,Unincorporated - Elizabeth Lake,0,0,0,Los Angeles Homeless Services Authority (LAHSA),8.90976825025112,0,0,0,34205884.1445313,37228.3536268012
249,Unincorporated - Florence-Firestone,997,0,997,Los Angeles Homeless Services Authority (LAHSA),3.72982625336427,267.304676484787,0,267.304676484787,14079939.1914063,22270.8604700778
